Ticker,Operacao,Nr Cotas,Data da Operacao,Preco Unitario,Preco Total,Taxa da B3,Taxa da CBLC,Outras Despesas,Preco Final,Subscricao
IRDM11,COMPRA,50,10/08/2020,"96,79","4.839,50","0,00","0,00",,"4.839,50",SUBSCRIÇÃO
SPTW11,VENDA,-64,13/07/2020,"77,90","-4.985,60","0,14","1,36","0,27","-4.983,83",
SPTW11,VENDA,-6,13/07/2020,"77,89","-467,34","0,02","0,13",,"-467,19",
HFOF11,COMPRA,15,02/07/2020,"100,36","1.505,40","0,00","0,00",,"1.505,40",SUBSCRIÇÃO
HFOF11,COMPRA,4,15/07/2020,"100,36","401,44","0,00","0,00",,"401,44",SUBSCRIÇÃO
HGLG11,COMPRA,43,30/07/2020,"155,37","6.680,91","0,00","0,00",,"6.680,91",SUBSCRIÇÃO
IRDM11,COMPRA,145,28/07/2020,"96,79","14.034,55","0,00","0,00",,"14.034,55",SUBSCRIÇÃO
XPLG11,COMPRA,15,17/06/2020,"115,37","1.730,55","0,05","0,47",,"1.731,07",
MGFF11,COMPRA,53,03/06/2020,"86,94","4.607,82","0,00","0,00",,"4.607,82",SUBSCRIÇÃO
LVBI11,COMPRA,10,04/05/2020,"114,99","1.149,90","0,03","0,31",,"1.150,24",
XPML11,COMPRA,10,04/05/2020,"91,40","914,00","0,02","0,15",,"914,17",
XPML11,COMPRA,10,12/05/2020,"87,70","877,00","0,02","0,24",,"877,26",
HGBS11,COMPRA,5,14/05/2020,"190,45","952,25","0,03","0,26",,"952,54",
XPML11,COMPRA,10,14/05/2020,"82,50","825,00","0,02","0,22",,"825,24",
MGFF11,COMPRA,27,14/05/2020,"86,94","2.347,38","0,00","0,00",,"2.347,38",SUBSCRIÇÃO
IRDM11,COMPRA,20,08/04/2020,"99,48","1.989,60","0,05","0,54",,"1.990,19",
MGFF11,COMPRA,15,13/04/2020,"91,26","1.368,90","0,04","0,38",,"1.369,32",
SAAG11,COMPRA,5,13/04/2020,"112,79","563,95","0,02","0,16",,"564,13",
SAAG11,COMPRA,10,13/04/2020,"112,97","1.129,70","0,03","0,30",,"1.130,03",
HGCR11,COMPRA,10,14/04/2020,"96,13","961,30","0,03","0,26",,"961,59",
HFOF11,COMPRA,10,14/04/2020,"99,77","997,70","0,03","0,27",,"998,00",
LVBI11,COMPRA,10,14/04/2020,"107,34","1.073,40","0,03","0,29",,"1.073,72",
RBVA11,COMPRA,5,24/04/2020,"115,90","579,50","0,02","0,16",,"579,68",
LVBI11,COMPRA,5,24/04/2020,"111,86","559,30","0,02","0,15",,"559,48",
XPML11,COMPRA,4,24/04/2020,"94,90","379,60","0,01","0,10",,"379,71",
XPML11,COMPRA,15,24/04/2020,"94,57","1.418,55","0,04","0,39",,"1.418,98",
HGRE11,COMPRA,10,27/04/2020,"139,91","1.399,10","0,04","0,38",,"1.399,52",
XPML11,COMPRA,10,27/04/2020,"95,90","959,00","0,03","0,26",,"959,29",
XPML11,COMPRA,5,28/04/2020,"94,97","474,85","0,01","0,10",,"474,96",
RBVA11,COMPRA,229,22/04/2020,"143,93","32.959,97","0,00","0,00",,"32.959,97",
HFOF11,COMPRA,20,02/03/2020,"115,24","2.304,80","0,08","0,63",,"2.305,51",
HGCR11,COMPRA,30,02/03/2020,"114,71","3.441,30","0,12","0,95",,"3.442,37",
IRDM11,COMPRA,20,02/03/2020,"122,60","2.452,00","0,08","0,67",,"2.452,75",
LVBI11,COMPRA,30,02/03/2020,"125,10","3.753,00","0,13","1,03",,"3.754,16",
MGFF11,COMPRA,30,02/03/2020,"106,60","3.198,00","0,11","0,88",,"3.198,99",
SAAG11,COMPRA,30,02/03/2020,"128,20","3.846,00","0,13","1,06",,"3.847,19",
HFOF11,COMPRA,20,04/03/2020,"115,55","2.311,00","0,07","0,63",,"2.311,70",
HGBS11,COMPRA,20,04/03/2020,"281,26","5.625,20","0,18","1,55",,"5.626,93",
HGCR11,COMPRA,30,04/03/2020,"114,55","3.436,50","0,11","0,94",,"3.437,55",
IRDM11,COMPRA,30,04/03/2020,"125,99","3.779,70","0,12","1,04",,"3.780,86",
MGFF11,COMPRA,20,04/03/2020,"109,18","2.183,60","0,07","0,60",,"2.184,27",
SAAG11,COMPRA,10,04/03/2020,"132,50","1.325,00","0,04","0,36",,"1.325,40",
SAAG11,COMPRA,10,04/03/2020,"132,49","1.324,90","0,04","0,35",,"1.325,29",
IRDM11,COMPRA,30,06/03/2020,"124,80","3.744,00","0,12","1,03",,"3.745,15",
SAAG11,COMPRA,15,06/03/2020,"129,50","1.942,50","0,06","0,53",,"1.943,09",
HGRE11,COMPRA,10,09/03/2020,"171,50","1.715,00","0,06","0,47",,"1.715,53",
IRDM11,COMPRA,30,09/03/2020,"121,71","3.651,30","0,12","1,00",,"3.652,42",
MGFF11,COMPRA,20,09/03/2020,"102,27","2.045,40","0,07","0,56",,"2.046,03",
SAAG11,COMPRA,30,09/03/2020,"124,50","3.735,00","0,12","1,03",,"3.736,15",
IRDM11,COMPRA,30,10/03/2020,"122,05","3.661,50","0,11","1,00",,"3.662,61",
HGRE11,COMPRA,10,11/03/2020,"169,10","1.691,00","0,05","0,46",,"1.691,51",
IRDM11,COMPRA,30,11/03/2020,"121,49","3.644,70","0,12","1,00",,"3.645,82",
MGFF11,COMPRA,30,11/03/2020,"103,70","3.111,00","0,10","0,85",,"3.111,95",
SAAG11,COMPRA,30,11/03/2020,"123,00","3.690,00","0,12","1,01",,"3.691,13",
XPML11,COMPRA,26,11/03/2020,"118,59","3.083,34","0,10","0,85",,"3.084,29",
XPML11,COMPRA,4,11/03/2020,"118,60","474,40","0,01","0,13",,"474,54",
HGRE11,COMPRA,30,12/03/2020,"156,55","4.696,50","0,15","1,29",,"4.697,94",
IRDM11,COMPRA,30,12/03/2020,"109,35","3.280,50","0,11","0,90",,"3.281,51",
MGFF11,COMPRA,30,12/03/2020,"93,52","2.805,60","0,09","0,77",,"2.806,46",
SAAG11,COMPRA,30,12/03/2020,"116,52","3.495,60","0,11","0,96",,"3.496,67",
HFOF11,COMPRA,31,09/03/2020,"112,96","3.501,76","0,00","0,00",,"3.501,76",SUBSCRIÇÃO
BBPO11,COMPRA,10,10/02/2020,"159,40","1.594,00","0,06","0,44",,"1.594,50",
HGCR11,COMPRA,15,10/02/2020,"113,90","1.708,50","0,06","0,47",,"1.709,03",
HGLG11,COMPRA,15,10/02/2020,"182,61","2.739,15","0,09","0,75",,"2.739,99",
HGRE11,COMPRA,15,10/02/2020,"189,63","2.844,45","0,10","0,78",,"2.845,33",
LVBI11,COMPRA,10,10/02/2020,"127,50","1.275,00","0,05","0,35",,"1.275,40",
LVBI11,COMPRA,5,10/02/2020,"127,00","635,00","0,02","0,17",,"635,19",
MGFF11,COMPRA,15,10/02/2020,"113,45","1.701,75","0,06","0,47",,"1.702,28",
SAAG11,COMPRA,15,10/02/2020,"132,69","1.990,35","0,07","0,55",,"1.990,97",
XPML11,COMPRA,15,10/02/2020,"134,19","2.012,85","0,07","0,55",,"2.013,47",
HGBS11,COMPRA,10,12/02/2020,"282,99","2.829,90","0,11","0,78",,"2.830,79",
HGBS11,COMPRA,5,12/02/2020,"283,00","1.415,00","0,03","0,39",,"1.415,42",
HGCR11,COMPRA,15,12/02/2020,"113,58","1.703,70","0,06","0,47",,"1.704,23",
HGRE11,COMPRA,15,12/02/2020,"194,99","2.924,85","0,10","0,80",,"2.925,75",
MGFF11,COMPRA,10,12/02/2020,"114,02","1.140,20","0,04","0,31",,"1.140,55",
HFOF11,COMPRA,10,14/02/2020,"117,04","1.170,40","0,04","0,32",,"1.170,76",
IRDM11,COMPRA,10,14/02/2020,"118,99","1.189,90","0,04","0,33",,"1.190,27",
LVBI11,COMPRA,10,14/02/2020,"132,00","1.320,00","0,04","0,36",,"1.320,40",
HFOF11,COMPRA,20,17/02/2020,"116,85","2.337,00","0,08","0,64",,"2.337,72",
HGBS11,COMPRA,5,17/02/2020,"283,20","1.416,00","0,05","0,39",,"1.416,44",
HGCR11,COMPRA,15,17/02/2020,"116,89","1.753,35","0,06","0,48",,"1.753,89",
HGCR11,COMPRA,5,17/02/2020,"116,86","584,30","0,02","0,16",,"584,48",
HGLG11,COMPRA,10,17/02/2020,"189,30","1.893,00","0,05","0,52",,"1.893,57",
HGLG11,COMPRA,20,17/02/2020,"189,31","3.786,20","0,14","1,04",,"3.787,38",
IRDM11,COMPRA,20,17/02/2020,"119,61","2.392,20","0,08","0,66",,"2.392,94",
