Ticker;Operacao;Cotas;Data;Preco_Unitario;Preco_Total;Taxa_B3;Taxa_CBLC;Outras_Despesas;Preco_Final;Subscricao
BDIF11;COMPRA;10;21/05/2024;"89,85";"898,5";"0,04";"0,22";"0,01";"898,77";
VGHF11;COMPRA;100;20/05/2024;"8,89";889;"0,04";"0,22";"0,01";"889,27";
BDIF11;COMPRA;10;15/05/2024;"89,8";898;"0,04";"0,22";"0,01";"898,27";
BIDB11;COMPRA;10;13/05/2024;"90,5";905;"0,04";"0,22";"0,01";"905,27";
BDIF11;COMPRA;20;13/05/2024;"90,03";"1.800,60";"0,09";"0,45";"0,03";"1.801,17";
HCTR11;VENDA;-100;13/05/2024;"31,59";"-3.159,00";"0,16";"0,79";"0,05";"-3.158,00";
BDIF11;COMPRA;10;10/05/2024;"90,01";"900,1";"0,04";"0,22";"0,01";"900,37";
BDIF11;COMPRA;10;09/05/2024;"90,41";"904,1";"0,04";"0,22";"0,01";"904,37";
BIDB11;COMPRA;10;02/05/2024;"89,9";899;"0,04";"0,22";0;"899,26";
VGHF11;COMPRA;100;18/04/2024;"8,7";870;"0,04";"0,21";0;"870,25";
BARI11;COMPRA;10;12/04/2024;"82,8";828;"0,04";"0,2";0;"828,24";
BIDB11;COMPRA;10;12/04/2024;"91,55";"915,5";"0,04";"0,23";0;"915,77";
BIDB11;COMPRA;10;11/04/2024;"91,65";"916,5";"0,04";"0,22";0;"916,76";
VGHF11;COMPRA;50;09/04/2024;"9,1";455;"0,02";"0,11";0;"455,13";
BIDB11;COMPRA;10;09/04/2024;"92,18";"921,8";"0,04";"0,23";0;"922,07";
VGHF11;COMPRA;100;05/04/2024;"9,1";910;"0,04";"0,22";0;"910,26";
BODB11;COMPRA;100;01/04/2024;"9,32";932;"0,05";"0,24";0;"932,29";
VGHF11;COMPRA;100;01/04/2024;"9,16";916;"0,04";"0,22";0;"916,26";
BODB11;COMPRA;100;28/03/2024;"9,4";940;"0,04";"0,23";0;"940,27";
JURO11;COMPRA;10;19/03/2024;"105,8";"1.058,00";"0,05";"0,26";0;"1.058,31";
RZTR11;COMPRA;10;11/03/2024;"97,95";"979,5";"0,04";"0,24";0;"979,78";
RZAT11;COMPRA;10;04/03/2024;"95,8";958;"0,05";"0,24";0;"958,29";
VGHF11;COMPRA;50;04/03/2024;"9,3";465;"0,02";"0,12";0;"465,14";
BARI11;COMPRA;10;04/03/2024;"83,9";839;"0,04";"0,21";0;"839,25";
VGHF11;COMPRA;50;01/03/2024;"9,31";"465,5";"0,02";"0,11";0;"465,63";
BARI11;COMPRA;10;01/03/2024;"84,38";"843,8";"0,04";"0,21";0;"844,05";
RZTR11;COMPRA;10;28/02/2024;"95,3";953;"0,04";"0,23";0;"953,27";
VGHF11;COMPRA;50;27/02/2024;"9,34";467;"0,02";"0,11";0;"467,13";
BODB11;COMPRA;50;15/02/2024;"9,39";"469,5";"0,02";"0,11";0;"469,63";
BODB11;COMPRA;50;01/02/2024;"9,4";470;"0,03";"0,11";0;"470,14";
VGHF11;COMPRA;50;01/02/2024;"9,4";470;"0,03";"0,12";0;"470,15";
JURO11;COMPRA;10;31/01/2024;"105,77";"1.057,70";"0,05";"0,26";0;"1.058,01";
BDIF11;COMPRA;10;30/01/2024;"90,15";"901,5";"0,04";"0,22";0;"901,76";
BODB11;COMPRA;50;29/01/2024;"9,48";474;"0,02";"0,11";0;"474,13";
BDIF11;COMPRA;10;24/01/2024;"91,16";"911,6";"0,04";"0,22";0;"911,86";
BODB11;COMPRA;50;22/01/2024;"9,48";474;"0,02";"0,12";0;"474,14";
BDIF11;COMPRA;10;22/01/2024;"91,63";"916,3";"0,04";"0,22";0;"916,56";
BODB11;COMPRA;150;17/01/2024;"9,48";"1.422,00";"0,07";"0,35";0;"1.422,42";
JURO11;COMPRA;15;05/01/2024;"106,85";"1.602,75";"0,08";"0,4";0;"1.603,23";
VINO11;COMPRA;50;03/01/2024;"7,56";378;"0,02";"0,09";0;"378,11";
CPTI11;COMPRA;10;03/01/2024;"99,52";"995,2";"0,05";"0,25";0;"995,5";
HSAF11;COMPRA;10;03/01/2024;"84,21";"842,1";"0,04";"0,21";0;"842,35";
NCHB11;COMPRA;90;08/12/2023;"8,86";797;"0,03";"0,19";0;"797,22";
MFII11;COMPRA;10;30/11/2023;"91,2";912;"0,05";"0,23";0;"912,28";
RZAT11;COMPRA;10;30/11/2023;"87,31";"873,1";"0,04";"0,22";0;"873,36";
HSAF11;COMPRA;10;30/11/2023;"84,6";846;"0,04";"0,21";0;"846,25";
RZAT11;COMPRA;10;29/11/2023;"87,95";"879,5";"0,04";"0,22";0;"879,76";
MCCI11;COMPRA;10;29/11/2023;"87,78";"877,8";"0,04";"0,21";0;"878,05";
CVBI11;COMPRA;10;27/11/2023;"87,3";873;"0,04";"0,21";0;"873,25";
MCCI11;COMPRA;10;27/11/2023;"88,1";881;"0,04";"0,22";0;"881,26";
BARI11;COMPRA;10;24/11/2023;"79,12";"791,2";"0,03";"0,19";0;"791,42";
RZAT11;COMPRA;10;23/11/2023;"87,98";"879,8";"0,04";"0,21";0;"880,05";
MFII11;COMPRA;10;17/11/2023;"91,43";"914,3";"0,04";"0,22";0;"914,56";
RZAT11;COMPRA;6;17/11/2023;"87,5";525;"0,03";"0,13";0;"525,16";
BARI11;COMPRA;10;16/11/2023;"81,45";"814,5";"0,04";"0,2";0;"814,74";
RZAT11;COMPRA;10;16/11/2023;"87,98";"879,8";"0,04";"0,22";0;"880,06";
NCHB11;COMPRA;90;14/11/2023;"8,83";"795,1";"0,03";"0,19";0;"795,32";
HSAF11;COMPRA;10;30/10/2023;"82,27";"822,7";"0,04";"0,2";0;"822,94";
VINO11;COMPRA;100;30/10/2023;"7,75";775;"0,03";"0,19";0;"775,22";
RZAT11;COMPRA;10;20/10/2023;"85,9";859;"0,04";"0,21";0;"859,25";
RECR11;COMPRA;10;19/10/2023;"84,25";"842,5";"0,04";"0,21";0;"842,75";
CPTI11;COMPRA;10;18/10/2023;"99,1";991;"0,05";"0,25";0;"991,3";
RZAT11;COMPRA;10;18/10/2023;"87,6";876;"0,04";"0,21";0;"876,25";
HSAF11;COMPRA;10;10/10/2023;"82,68";"826,8";"0,04";"0,2";0;"827,04";
VINO11;COMPRA;100;03/10/2023;"8,3";830;"0,04";"0,2";0;"830,24";
RZAT11;COMPRA;10;03/10/2023;"88,5";885;"0,04";"0,22";0;"885,26";
BARI11;COMPRA;10;02/10/2023;"80,4";804;"0,04";"0,2";0;"804,24";
HSAF11;COMPRA;10;02/10/2023;"84,71";"847,1";"0,04";"0,21";0;"847,35";
RECR11;COMPRA;10;02/10/2023;"86,98";"869,8";"0,04";"0,22";0;"870,06";
HSAF11;COMPRA;10;29/09/2023;"85,01";"850,1";"0,04";"0,21";0;"850,35";
BARI11;COMPRA;10;29/09/2023;"84,15";"841,5";"0,04";"0,21";0;"841,75";
BARI11;COMPRA;10;19/09/2023;"84,5";845;"0,04";"0,21";0;"845,25";
HSAF11;COMPRA;10;19/09/2023;"87,69";"876,9";"0,04";"0,22";0;"877,16";
NCHB11;COMPRA;90;19/09/2023;"9,16";824;"0,04";"0,2";0;"824,24";
HSAF11;COMPRA;10;22/09/2023;"86,5";865;"0,04";"0,21";0;"865,25";
HGLG11;COMPRA;70;02/06/2023;"155,7";"10.899,00";0;0;0;"10.899,00";
BARI11;COMPRA;10;01/09/2023;"84,96";"849,6";"0,04";"0,21";0;"849,85";
BARI11;COMPRA;10;30/08/2023;"87,2";872;"0,04";"0,22";0;"872,26";
HSAF11;COMPRA;10;30/08/2023;"85,95";"859,5";"0,04";"0,21";0;"859,75";
NCHB11;COMPRA;90;30/08/2023;"9,21";"829,1";"0,04";"0,21";0;"829,35";
RZAT11;COMPRA;10;29/08/2023;"88,24";"882,4";"0,05";"0,22";0;"882,67";
